"lang"
{
"Language" "Polish"
"TF_TargetID_Alpha"					"ID celu - przezroczystość tła plakietki z nazwą"
"TF_TargetID_Alpha_Tip"				"Ustawia przezroczystość tła plakietki z nazwą dla ID celu."
"TF_TargetID_Show_Avatars"			"ID celu - wyświetlaj obraz awatarów na ID celu"
"TF_TargetID_Show_Avatars_Tip"		"Wyświetlaj obraz awatarów Steam na ID celu."
"TF_HideKeybinds"                 	"Ukryj wyświetlane przypisane klawisze"
"TF_HideKeybinds_Tip"				"Wyłącz wyświetlanie przypisanych klawiszy na interfejsie."
"TF_AlternativeTimer"             	"Użyj alternatywnego zegara w grze"
"TF_AlternativeTimer_Tip"			"Włączenie tej opcji spowoduje, że zegar będzie używał alternatywnej czcionki mono."
"TF_DisableDropShadow"				"Wyłącz cienie intefejsu"
"TF_DisableDropShadow_Tip"			"Włączenie tej opcji spowoduje, że cienie zostają usunięte z większości tekstów i obrazów."
"TF_DeathNoticeMax"					"Lista zabójstw - maksymalnie widoczna ilość"
"TF_DeathNoticeMax_Tip"				"Ustawia maksymalną liczbę elementów widocznych w tym samym czasie na liście zabójstw."
"TF_DeathNoticeTime"				"Lista zabójstw - czas wygaśnięcia elementów (w sekundach)"
"TF_DeathNoticeTime_Tip"			"Ustawia czas wygaśnięcia elementów na liście zabójstw."
"TF_GlowEffects"					"Włącz poświatę"
"TF_GlowEffects_Tip"				"Włączenie tej opcji spowoduje, że podczas rundy zostanie włączony efekt poświaty dla celów takich jak VIP-y, wózki z ładunkiem i tajne materiały w trybie Zdobądź flagę."

// ViewModel
"TF_ViewModelFOV"			"Pole widzenia modeli broni"
"TF_FlipViewModels"			"Odwróć modele broni"
"TF_InvisibleArms"			"Użyj niewidzialnego modelu ręki"
"TF_ViewModelOpacity"		"Przezroczystość modeli broni"

// Misc
"TF_ClassAutoKill"				"Odródź się po wybraniu klasy"
"TF_ClassAutoKill_Tip"			"Włączenie tej opcji spowoduje, że zmiana klasy poza strefą odradzania spowoduje natychmiastowe odrodzenie.\n\nGdy jest wyłączona, zmiana klasy nastąpi po odrodzeniu.
"TF_ClassMenu_Music"			"Muzyka na ekranie wyboru klasy"
"TF_StreamerMode"				"Włącz tryb streamowania"
"TF_StreamerMode_Tip"			"Włączenie tej opcji spowoduje, że czat tekstowy będzie ukryty, a wszyscy gracze w meczu staną się anonimowi, łącznie z tobą."
"TF_ModelMuzzleFlash"			"Włącz model efektu wylotu z lufy z wersji beta"
"TF_ModelMuzzleFlash_Tip"		"Włączenie tej opcji spowoduje, że efekt wylotu z lufy będzie używał modeli zamiast cząsteczek."

// Voice
"TF2c_Option_Proximity_Voice_Local"		"Włącz zbliżeniowy czat głosowy."

// Multiplayer
"TF_MessageAlert"					"Włącz dźwięk dla wiadomości na czacie"
"TF_MessageAlert_Tip"				"Włączenie tej opcji spowoduje, że po otrzymaniu wiadomości na czacie, zostanie odtworzony dźwięk."
"TF_MessageVolume"					"Głośność dźwięku dla wiadomości na czacie"
"TF_ChatCloseOnSend"				"Zamknij czat po wysłaniu wiadomości"
"TF_ChatCloseOnSend_Tip"			"Włączenie tej opcji spowoduje, że czat będzie zamykany po wysłaniu wiadomości."
"TF_DownloadFilter_Title"			"Uprawnienia dla pobranych niestandardowych plików z serwerów"
"GameUI_DownloadFilter_All"			"Pobierz wszystkie pliki"
"GameUI_DownloadFilter_NoSounds"	"Nie pobieraj dźwięków"
"GameUI_DownloadFilter_MapsOnly"	"Pobierz tylko pliki map"
"GameUI_DownloadFilter_None"		"Nie pobieraj żadnych plików"
"TF_Network_Rate"       			"Częstotliwość aktualizacji sieci"
"TF_Network_Rate_Tip"       		"Ustawia częstotliwość aktualizacji sieci, co odwrotnie ustawia wielkość interpolacji.\n\nZaleca się sprawdzenie, która opcja najlepiej sprawdza się w przypadku danego połączenia sieciowego."

// Video
"TF2c_Option_BloomScale"		"Intensywność Bloom"

// ----------------------------------------------------------------
// Stats
// ----------------------------------------------------------------
										   
"TF_Stats_Reset"			"Zresetuj statystyki" // R
"TF_Stats_Close"			"Zamknij" // Q

"TF_NextTip"				"Następna wskazówka"
																								   
"Stat_PadJumps"				"WYSKOCZNIE"

"StatPanel_Label_PadJumps"		"# użyto wyskoczni: "

"TF_ClassRecord_MostUbercharges"		"Naj. Überów:"
"TF_ClassRecord_Alt_MostUbercharges"	"Über(ów)"
"TF_ClassRecord_MostPadJumps"			"Naj. skoków na wyskoczni:"
"TF_ClassRecord_Alt_MostPadJumps"		"skok(ów) na wyskoczni"

"StatPanel_Ubercharges_Best"			"W tej rundzie udało ci się pobić rekord w liczbie użytych ładunków ÜberCharge."
"StatPanel_Ubercharges_Tie"				"W tej rundzie udało ci się wyrównać rekord w liczbie użytych ładunków ÜberCharge."
"StatPanel_Ubercharges_Close"			"W tej rundzie udało ci się zbliżyć do rekordu w liczbie użytych ładunków ÜberCharge."
"StatPanel_MVM_Ubercharges_Best"		"W tej rundzie Mann vs Maszyny udało ci się pobić rekord w liczbie użytych ładunków ÜberCharge."
"StatPanel_MVM_Ubercharges_Tie"			"W tej rundzie Mann vs Maszyny udało ci się wyrównać rekord w liczbie użytych ładunków ÜberCharge."
"StatPanel_MVM_Ubercharges_Close"		"W tej rundzie Mann vs Maszyny udało ci się zbliżyć do rekordu w liczbie użytych ładunków ÜberCharge."

"StatPanel_PadJumps_Best"			"W tej rundzie udało ci się pobić rekord w liczbie skoków na wyskoczni."
"StatPanel_PadJumps_Tie"			"W tej rundzie udało ci się wyrównać rekord w liczbie skoków na wyskoczni."
"StatPanel_PadJumps_Close"			"W tej rundzie udało ci się zbliżyć do rekordu w liczbie skoków na wyskoczni."
"StatPanel_MVM_PadJumps_Best"		"W tej rundzie Mann vs Maszyny udało ci się pobić rekord w liczbie skoków na wyskoczni."
"StatPanel_MVM_PadJumps_Tie"		"W tej rundzie Mann vs Maszyny udało ci się wyrównać rekord w liczbie skoków na wyskoczni."
"StatPanel_MVM_PadJumps_Close"		"W tej rundzie Mann vs Maszyny udało ci się zbliżyć do rekordu w liczbie skoków na wyskoczni."

// ----------------------------------------------------------------
// Achievements
// ----------------------------------------------------------------

// Achievement groups
"Achievement_Group_3000"	"Klasy ataku (%s1 z %s2)"
"Achievement_Group_3100"	"Klasy obrony (%s1 z %s2)"
"Achievement_Group_3200"	"Klasy wsparcia (%s1 z %s2)"
"Achievement_Group_3300"	"Mapy i tryby (%s1 z %s2)"

// Launch achievements
"TF2C_ACHIEVEMENT_KILL_WITH_DISTANTRPG_NAME"					"Obliczony wypadek"
"TF2C_ACHIEVEMENT_KILL_WITH_DISTANTRPG_DESC"					"Jako Żołnierz, zabij wroga z dużej odległości za pomocą rakiety lecącej po łuku."
"TF2C_ACHIEVEMENT_PLAY_GAME_CLASSICMAPS_1_NAME"					"Doświadczony obieżyświat"
"TF2C_ACHIEVEMENT_PLAY_GAME_CLASSICMAPS_1_DESC"					"Zagraj kompletną grę na mapach Dustbowl, 2Fort, Badlands (CP), Well (CTF) i Avanti."
"TF2C_ACHIEVEMENT_PLAY_GAME_CLASSICMAPS_1_GOAL_CP_DUSTBOWL"		"Dustbowl"
"TF2C_ACHIEVEMENT_PLAY_GAME_CLASSICMAPS_1_GOAL_CTF_2FORT"		"2Fort"
"TF2C_ACHIEVEMENT_PLAY_GAME_CLASSICMAPS_1_GOAL_CP_BADLANDS"		"Badlands (CP)"
"TF2C_ACHIEVEMENT_PLAY_GAME_CLASSICMAPS_1_GOAL_CTF_WELL"		"Well (CTF)"
"TF2C_ACHIEVEMENT_PLAY_GAME_CLASSICMAPS_1_GOAL_VIP_AVANTI"		"Avanti"
"TF2C_ACHIEVEMENT_KILL_BUILDINGS_WITH_MIRV_NAME"				"KA-BOOM!"
"TF2C_ACHIEVEMENT_KILL_BUILDINGS_WITH_MIRV_DESC"				"Jako Demoman, zniszcz 5 wrogich konstrukcji Inżyniera, używając Paczki dynamitu."
"TF2C_ACHIEVEMENT_DEFUSE_MIRV_NAME"								"Niewypał"
"TF2C_ACHIEVEMENT_DEFUSE_MIRV_DESC"								"Jako Inżynier, rozbrój za pomocą klucza Paczkę dynamitu wrogiego Demomana."
"TF2C_ACHIEVEMENT_TRANQ_MELEE_KILL_NAME"						"Głęboki sen"
"TF2C_ACHIEVEMENT_TRANQ_MELEE_KILL_DESC"						"Jako Szpieg, zabij nożem 10 uśpionych wrogów."
"TF2C_ACHIEVEMENT_EXTINGUISH_BOMBLETS_NAME"						"Pomyśl życzenie"
"TF2C_ACHIEVEMENT_EXTINGUISH_BOMBLETS_DESC"						"Jako Pyro, zgaś 20 lasek dynamitu strumieniem sprężonego powietrza."
"TF2C_ACHIEVEMENT_KILL_SENTRY_WITH_NAILGUN_NAME"				"Obgryzacz gwoździ"
"TF2C_ACHIEVEMENT_KILL_SENTRY_WITH_NAILGUN_DESC"				"Jako Skaut, zniszcz 5 wrogich działek strażniczych, używając Gwoździarki."
"TF2C_ACHIEVEMENT_BRICK_NAME"									"Cegła"
"TF2C_ACHIEVEMENT_BRICK_DESC"									"..."
"TF2C_ACHIEVEMENT_ANCHOR_DEATHKILL_NAME"						"Na dno ze statkiem"
"TF2C_ACHIEVEMENT_ANCHOR_DEATHKILL_DESC"						"Jako Żołnierz, zabij wroga za pomocą trzęsienia ziemi Kotwicy admiralicji, otrzymując przy tym śmiertelne obrażenia od upadku."
"TF2C_ACHIEVEMENT_SSG_MEATSHOTS_NAME"							"Rozrywaj i rozdzieraj!"
"TF2C_ACHIEVEMENT_SSG_MEATSHOTS_DESC"							"Jako Pyro, zabij z bliska 10 wrogów, używając Dwubeltówki."
"TF2C_ACHIEVEMENT_HARVESTER_DECAP_SINGLE_LIFE_NAME"				"Zawrót głowy"
"TF2C_ACHIEVEMENT_HARVESTER_DECAP_SINGLE_LIFE_DESC"				"Jako Pyro, nie ginąc, zetnij głowy 3 wrogów, używając Żniwiarza."
"TF2C_ACHIEVEMENT_CYCLOPS_COMBO_NAME"							"Krwawe kombo"
"TF2C_ACHIEVEMENT_CYCLOPS_COMBO_DESC"							"Jako Demoman, zabij co najmniej 3 wrogów za pomocą pojedyńczego komba detonacji materiałów wybuchowych, używając Cyklopa."
"TF2C_ACHIEVEMENT_SANDVICH_MINES_NAME"							"Rozbrojenie"
"TF2C_ACHIEVEMENT_SANDVICH_MINES_DESC"							"Jako Gruby, bezpiecznie aktywuj wrogą minę, która została podłożona co najmniej 5 sekund wcześniej, nie zbliżając się do niej."
"TF2C_ACHIEVEMENT_TAUNT_KILL_MIRV_NAME"							"1, 1, 1, uhh..."
"TF2C_ACHIEVEMENT_TAUNT_KILL_MIRV_DESC"							"Jako Demoman, zabij wroga za pomocą nieudanej kompozycji materiałów wybuchowych."
"TF2C_ACHIEVEMENT_AA_GUN_CHALLENGE_NAME"						"Polityka zabezpieczeń"
"TF2C_ACHIEVEMENT_AA_GUN_CHALLENGE_DESC"						"Jako Gruby, nie raniąc siebie, zadaj wrogom 2000 pkt. obrażeń w jednym życiu, używając Działa przeciwlotniczego."
"TF2C_ACHIEVEMENT_CHEKHOV_CRIT_KILL_NAME"						"Przygotowanie na rozliczenie"
"TF2C_ACHIEVEMENT_CHEKHOV_CRIT_KILL_DESC"						"Jako Gruby, zdobądź krytyczne zabójstwo za pomocą Ciosu Czechowa z pełnym zapasem trafień krytycznych."
"TF2C_ACHIEVEMENT_JUMPPAD_STOMP_NAME"							"Prędkość graniczna"
"TF2C_ACHIEVEMENT_JUMPPAD_STOMP_DESC"							"Zabij wroga, lądując na nim po użyciu wyskoczni."
"TF2C_ACHIEVEMENT_EXTEND_UBER_NAME"								"Maraton chirurgiczny"
"TF2C_ACHIEVEMENT_EXTEND_UBER_DESC"								"Jako Medyk, wydłuż czas trwania ÜberCharge Rewitalizatora do 12 sekund."
"TF2C_ACHIEVEMENT_CHEKHOV_SHOCK_NAME"							"To nie żyje!"
"TF2C_ACHIEVEMENT_CHEKHOV_SHOCK_DESC"							"Jako Medyk, wywołaj atak serca u wrogiego Grubego wyposażonego w Cios Czechowa."
"TF2C_ACHIEVEMENT_HEADSHOT_KILL_MIDFLIGHT_NAME"					"Martwa strefa"
"TF2C_ACHIEVEMENT_HEADSHOT_KILL_MIDFLIGHT_DESC"					"Jako Snajper, zabij wroga strzałem w głowę, gdy znajduje się w powietrzu."
"TF2C_ACHIEVEMENT_SPEEDWATCH_COUNTER_NAME"						"Upoluj Francuza"
"TF2C_ACHIEVEMENT_SPEEDWATCH_COUNTER_DESC"						"Odkryj niewidzialnego Szpiega z L'escampette, zadając mu obrażenia."
"TF2C_ACHIEVEMENT_WIN_CIVILIAN_NODEATHS_NAME"					"Przedsiębiorca"
"TF2C_ACHIEVEMENT_WIN_CIVILIAN_NODEATHS_DESC"					"Jako Cywil, nie ginąc ani razu, wygraj rundę w trybie VIP."
"TF2C_ACHIEVEMENT_VIPR_TIME_NAME"								"Błyskawiczny awans"
"TF2C_ACHIEVEMENT_VIPR_TIME_DESC"								"Wygraj rundę w mniej niż trzy minuty w trybie Wyścig VIP-ów."
"TF2C_ACHIEVEMENT_ARCHAEOLOGY_NAME"								"Archeologia"
"TF2C_ACHIEVEMENT_ARCHAEOLOGY_DESC"								"Odkryj ukryty skarb na mapie Jinn."
"TF2C_ACHIEVEMENT_AIRHOCKEY_NAME"								"Mistrz gry"
"TF2C_ACHIEVEMENT_AIRHOCKEY_DESC"								"Wygraj grę w cymbergaja na mapie 2Bridge przeciwko innemu graczowi."
"TF2C_ACHIEVEMENT_CHICKEN_ENVKILL_NAME"							"Ptasie figle"
"TF2C_ACHIEVEMENT_CHICKEN_ENVKILL_DESC"							"Doprowadź do śmierci kurczaka za pomocą elementu środowiska."
"TF2C_ACHIEVEMENT_4TEAM_BACKSTAB_NAME"							"Potrójny agent"
"TF2C_ACHIEVEMENT_4TEAM_BACKSTAB_DESC"							"Jako Szpieg, dźgnij w plecy wrogów ze wszystkich trzech przeciwnych drużyn w jednej czterodrużynowej rundzie."
"TF2C_ACHIEVEMENT_HOLD_ALLPOINTS_DOMINATION_NAME"				"Całkowita dominacja"
"TF2C_ACHIEVEMENT_HOLD_ALLPOINTS_DOMINATION_DESC"				"Postaraj się, by podczas rundy w trybie Dominacja twoja drużyna przejęła wszystkie punkty kontrolne."
"TF2C_ACHIEVEMENT_SHAME_NAME"									"Odznaka hańby"
"TF2C_ACHIEVEMENT_SHAME_DESC"									"Zgiń z rąk wrogiego VIP-a. Zostałeś zniesławiony."
"TF2C_ACHIEVEMENT_DOMINATE_DEVELOPER_NAME"						"Destrukcyjna krytyka"
"TF2C_ACHIEVEMENT_DOMINATE_DEVELOPER_DESC"						"Zdominuj wroga z medalem kontrybutora."

// ----------------------------------------------------------------
// Discord Rich Presence
// ----------------------------------------------------------------

"Discord_InMenu"				"W menu"
"Discord_InMenu_ToolTip"		"Menu główne"
"Discord_IsLoading"				"W trakcie wczytywania..."
"Discord_IsLoading_ToolTip"		"Wczytywanie..."
"Discord_InOfficialMap"			"Oficjalna mapa: %s1"
"Discord_InCommunityMap"		"Mapa społeczności: %s1"
"Discord_InServer_Info"			"Na serwerze: %s1"

// ----------------------------------------------------------------
// Server Browser
// ----------------------------------------------------------------
"ServerBrowser_PlayerCount"			"%s1/%s2"
"ServerBrowser_LatencyDetail"		"Ping: %s1"
"ServerBrowser_IPAddressDetail"		"Adres IP: %s1"
"ServerBrowser_PlayerListHeading"	"Graczy (%s1/%s2, %s3 botów):"
"ServerBrowser_NotFullFilter"		"Serwer nie jest pełny"
"ServerBrowser_HasPlayersFilter"	"Gracze na serwerze"
"ServerBrowser_NoPasswordFilter"	"Niezabezpieczony hasłem"
"ServerBrowser_HasTagsFilter"		"Zawiera tagi"
"ServerBrowser_MaxLatencyFilter"	"Maks. ping"
"ServerBrowser_MaxPlayersFilter"	"Maks. liczba graczy"
"ServerBrowser_ServerTypeFilter"	"Typ serwera"
"ServerBrowser_MapNameFilter"		"Nazwa mapy"
"ServerBrowser_SortBy"				"Sortuj według:"
"ServerBrowser_SortByName"			"Nazwy"
"ServerBrowser_SortByMap"			"Mapy"
"ServerBrowser_SortByPlayers"		"Graczy"
"ServerBrowser_SortByLatency"		"Ping"
"ServerBrowser_SortByLastPlayed"	"Ostatnio grane"
"ServerBrowser_UseLegacyBrowser"	"Starsza wyszukiwarka"
"ServerBrowser_CurrentMapHeading"	"Aktualna mapa:"
"ServerBrowser_TagListHeading"		"Tagi:"
"ServerBrowser_OfficialDetail"		"Ten serwer jest oficjalny"
"ServerBrowser_VerifiedDetail"		"Ten serwer jest zweryfikowany"
"ServerBrowser_Any"					"Każdy"
"ServerBrowser_Official"			"Oficjalny"
"ServerBrowser_Verified"			"Zweryfikowany"
"ServerBrowser_OfficialOrVerified"	"Oficjalny lub zweryfikowany"
"ServerBrowser_CustomRules"			"Niestandardowe zasady"
"ServerBrowser_CustomWeapons"		"Niestandardowe bronie"
}
}
