"lang"
{
"Language" "Spanish"
"TF2C_ACHIEVEMENT_CHEKHOV_CRIT_KILL_DESC"				"Consigue una muerte crítica con el Puño de Chéjov con la carga máxima de crítico."
"TF2C_ACHIEVEMENT_JUMPPAD_STOMP_NAME"					"Velocidad Terminal"
"TF2C_ACHIEVEMENT_JUMPPAD_STOMP_DESC"					"Mata a alguien aterrizando sobre él después de usar un Controlador Aéreo."
"TF2C_ACHIEVEMENT_EXTEND_UBER_NAME"						"Cirugía Maratón"
"TF2C_ACHIEVEMENT_EXTEND_UBER_DESC"						"Extiende la Supercarga del Rejuvenecedor a 12 segundos."
"TF2C_ACHIEVEMENT_CHEKHOV_SHOCK_NAME"					"¡Está Muerto!"
"TF2C_ACHIEVEMENT_CHEKHOV_SHOCK_DESC"					"Haz que un Heavy con el Puño de Chéjov sufra un infarto."
"TF2C_ACHIEVEMENT_HEADSHOT_KILL_MIDFLIGHT_NAME"			"Aire Muerto"
"TF2C_ACHIEVEMENT_HEADSHOT_KILL_MIDFLIGHT_DESC"			"Mata a un enemigo de un tiro en la cabeza mientras está en el aire."
"TF2C_ACHIEVEMENT_SPEEDWATCH_COUNTER_NAME"				"Cazar al Francés"
"TF2C_ACHIEVEMENT_SPEEDWATCH_COUNTER_DESC"				"Revela a un Spy invisible que esté usando L'escampette causándole daño."
"TF2C_ACHIEVEMENT_WIN_CIVILIAN_NODEATHS_NAME"			"El Empresario"
"TF2C_ACHIEVEMENT_WIN_CIVILIAN_NODEATHS_DESC"			"Gana una ronda de VIP como el Civilian sin morir una vez."
"TF2C_ACHIEVEMENT_VIPR_TIME_NAME"						"Estado Acelerado"
"TF2C_ACHIEVEMENT_VIPR_TIME_DESC"						"Gana una ronda de Carrera VIP en menos de tres minutos."
"TF2C_ACHIEVEMENT_ARCHAEOLOGY_NAME"						"Arqueología"
"TF2C_ACHIEVEMENT_ARCHAEOLOGY_DESC"						"Descubre el tesoro enterrado en Jinn."
"TF2C_ACHIEVEMENT_AIRHOCKEY_NAME"						"Deportista"
"TF2C_ACHIEVEMENT_AIRHOCKEY_DESC"						"Gana un juego de Hockey de Aire en 2Bridge."
"TF2C_ACHIEVEMENT_CHICKEN_ENVKILL_NAME"					"Juego de Gallina"
"TF2C_ACHIEVEMENT_CHICKEN_ENVKILL_DESC"					"Persigue a un pollo hasta una muerte ambiental."
"TF2C_ACHIEVEMENT_4TEAM_BACKSTAB_NAME"					"Agente Triple"
"TF2C_ACHIEVEMENT_4TEAM_BACKSTAB_DESC"					"Apuñala por la espalda a jugadores de los tres equipos enemigos en una ronda de Cuatro Equipos."
"TF2C_ACHIEVEMENT_HOLD_ALLPOINTS_DOMINATION_NAME"		"Dominación Total"
"TF2C_ACHIEVEMENT_HOLD_ALLPOINTS_DOMINATION_DESC"		"Consigue que tu equipo controle todos los Puntos de Control durante una ronda de Dominación."
"TF2C_ACHIEVEMENT_SHAME_NAME"							"Insignia de Vergüenza"
"TF2C_ACHIEVEMENT_SHAME_DESC"							"Muere a manos del VIP enemigo. Has sido marcado."
"TF2C_ACHIEVEMENT_DOMINATE_DEVELOPER_NAME"				"Crítica Destructiva"
"TF2C_ACHIEVEMENT_DOMINATE_DEVELOPER_DESC"				"Domina a un desarrollador en una partida en línea."

// ----------------------------------------------------------------
// Discord Rich Presence
// ----------------------------------------------------------------

"Discord_InMenu"					"En menús"
"Discord_InMenu_ToolTip"			"Menú principal"
"Discord_IsLoading"					"Esta ahora cargando..."
"Discord_IsLoading_ToolTip"			"Cargando..."
"Discord_InOfficialMap"				"Mapa Oficial: %s1"
"Discord_InCommunityMap"			"Mapa de la Comunidad: %s1"
"Discord_InServer_Info"				"En servidor: %s1"

// ----------------------------------------------------------------
// Server Browser
// ----------------------------------------------------------------
"ServerBrowser_PlayerCount" "%s1/%s2"
"ServerBrowser_LatencyDetail" "Latencia: %s1"
"ServerBrowser_IPAddressDetail" "Dirección IP: %s1"
"ServerBrowser_PlayerListHeading" "Jugadores (%s1/%s2, %s3 Bots):"
"ServerBrowser_NotFullFilter" "El servidor no está lleno"
"ServerBrowser_HasPlayersFilter" "Tiene usuarios jugando"
"ServerBrowser_NoPasswordFilter" "No está protegido por contraseña"
"ServerBrowser_HasTagsFilter" "Tiene tags"
"ServerBrowser_MaxLatencyFilter" "Max. latencia"
"ServerBrowser_MaxPlayersFilter" "Max. jugadores"
"ServerBrowser_ServerTypeFilter" "Tipo de servidor"
"ServerBrowser_MapNameFilter" "Nombre de mapa"
"ServerBrowser_SortBy" "Ordenar por:"
"ServerBrowser_SortByName" "Nombre"
"ServerBrowser_SortByMap" "Mapa"
"ServerBrowser_SortByPlayers" "Jugadores"
"ServerBrowser_SortByLatency" "Latencia"
"ServerBrowser_SortByLastPlayed" "Última sesión"
"ServerBrowser_UseLegacyBrowser" "Navegador Heredado"
"ServerBrowser_CurrentMapHeading" "Mapa Actual:"
"ServerBrowser_TagListHeading" "Tags:"
"ServerBrowser_OfficialDetail" "Servidor Oficial"
"ServerBrowser_VerifiedDetail" "Servidor Verificado"
"ServerBrowser_Any" "Cualquier"
"ServerBrowser_Official" "Oficial"
"ServerBrowser_Verified" "Verificado"
"ServerBrowser_OfficialOrVerified" "Oficial o Verificado"
"ServerBrowser_CustomRules"	"Reglas Personalizadas"
"ServerBrowser_CustomWeapons" "Armas Personalizadas"
}
}
