"lang"
{
"Language" "German"
"TF_DisableDropShadow"            "Schlagschatten deaktivieren"
"TF_DisableDropShadow_Tip"        "Wenn eingeschaltet, entfernt der Schlagschatten die meisten Texte und Bilder."
"TF_DeathNoticeMax"               "Todesanzeige - Maximale sichtbare Menge"
"TF_DeathNoticeMax_Tip"           "Legt die maximale Anzahl Ihrer Todesanzeigen fest, die gleichzeitig angezeigt werden."
"TF_DeathNoticeTime"              "Todesanzeige - Ablaufzeit (In Sekunden)"
"TF_DeathNoticeTime_Tip"          "Legt die Ablaufzeit für Todesanzeigen fest."


// ViewModel
"TF_ViewModelFOV"				"Sichtbereich des Ansichtsmodells"
"TF_ViewModelFOV_Tip"			"Passt den Sichtbereich des Ansichtsmodells an."
"TF_FlipViewModels"				"Ansichtsmodellsausrichtung ändern"
"TF_FlipViewModels_Tip"			"Ändert die Richtung des Ansichtsmodells."
"TF_InvisibleArms"				"Arme in Ansichtsmodellen deaktivieren"
"TF_InvisibleArms_Tip"			"Arme in Ansichtsmodellen werden deaktiviert."
"TF_ViewModelOpacity"			"Durchsichtige Ansichtsmodelle"
"TF_ViewModelOpacity_Tip"		"Durchsichtige Ansichtsmodelle anpassen."

// Misc
"TF_ClassAutoKill"					"Erneutes Spawnen nach Wahl einer Spielerklasse"
"TF_ClassAutoKill_Tip"				"Wenn eingeschaltet, werden Sie nach Wahl einer Spielerklasse im Feld sofort erneut spawnen.\n\nWenn ausgeschaltet, werden Sie nach Wahl einer Spielerklasse nur im Spawnraum wechseln."
"TF_ClassMenu_Music"				"Klassenwahlmenü Musik"
"TF_StreamerMode"					"Streamer-Modus aktivieren"
"TF_StreamerMode_Tip"				"Wenn eingeschaltet, wird der Chat (mit Ausnahme des Sprachchats) deaktiviert und alle Spieler werden anonymisiert"
"TF_ModelMuzzleFlash"				"Beta Mündungsfeuer-Modelle aktivieren"
"TF_ModelMuzzleFlash_Tip"			"Wenn eingeschaltet, werden für Mündungsfeuer-Modelle anstelle von Partikeln verwendet."

// Voice
"TF2c_Option_Proximity_Voice_Local"	"Proximity-Sprachchat aktivieren."

// Multiplayer
"TF_MessageAlert"				  "Sound für Chatnachrichten aktivieren"
"TF_MessageAlert_Tip"			  "Wenn eingeschaltet, wird ein Sound abgespielt, wenn eine Chat-Nachricht empfangen wird."
"TF_MessageVolume"				  "Soundlautstärke der Chatnachricht"
"TF_DownloadFilter_Title"			"Benutzerdef. Dateien von Servern downloaden erlauben"
"GameUI_DownloadFilter_All"			"Alle Dateien erlauben"
"GameUI_DownloadFilter_NoSounds"	"Keine benutzerdef. Sounds"
"GameUI_DownloadFilter_MapsOnly"	"Nur selbst erstellte Karten"
"GameUI_DownloadFilter_None"		"Keine benutzerdef. Dateien"
"TF_Network_Rate"       			"Netzwerkaktualisierungsrate"
"TF_Network_Rate_Tip"       		"Legt die Akutalisierungsrate fest, wodurch sich der Einfügungsgrad umgekehrt einstellt. \n\nEs wird empfohlen, beide Optionen auszuprobieren und zu sehen, welche für Ihre Netzwerkverbindung am besten geeignet ist."

// Video
"TF2c_Option_BloomScale"	"Bloom-Skalierung"

// ----------------------------------------------------------------
// Stats
// ----------------------------------------------------------------


"TF_Stats_Reset"			"Statistik zurücksetzen" // R
"TF_Stats_Close"			"Zurück" // Q

"TF_NextTip"							"Nächster Tipp"
																			
"Stat_PadJumps"							"SPRUNGPL."

"StatPanel_Label_PadJumps"				"Anz. Sprungeinsätze: "

"TF_ClassRecord_MostUbercharges"		"Meiste Überladungen:"
"TF_ClassRecord_Alt_MostUbercharges"	"Überladung(en)"
"TF_ClassRecord_MostPadJumps"			"Meiste Sprungeins.:"
"TF_ClassRecord_Alt_MostPadJumps"		"Sprungeinsatz/-sätze"


"StatPanel_Jumppad_Jumps_Best"		"Ihre Sprungplattformen wurden in dieser Runde mehr benutzt als bisher."
"StatPanel_Jumppad_Jumps_Tie"		"Sie haben in dieser Runde Ihren Rekord für die Benutzung von Sprungplattformen gehalten."
"StatPanel_Jumppad_Jumps_Close"		"Sie haben in dieser Runde Ihren Rekord für die Benutzung von Sprungplattformen fast erreicht."
"StatPanel_MVM_PadJumps_Best"			"Ihre Sprungplattformen wurden in dieser Runde von Mann vs. Machine mehr benutzt als bisher."
"StatPanel_MVM_PadJumps_Tie"			"Sie haben in dieser Runde von Mann vs. Machine Ihren Rekord für die Benutzung von Sprungplattformen gehalten."
"StatPanel_MVM_PadJumps_Close"			"Sie haben in dieser Runde von Mann vs. Machine Ihren Rekord für die Benutzung von Sprungplattformen fast erreicht."

// ----------------------------------------------------------------
// Achievements
// ----------------------------------------------------------------

// Achievement groups
"Achievement_Group_3000"	"Angriffsklassen"
"Achievement_Group_3100"	"Verteidigungsklassen"
"Achievement_Group_3200"	"Support-Klassen"
"Achievement_Group_3300"	"Karten und Spielmodi"

// Launch achievements
"TF2C_ACHIEVEMENT_KILL_WITH_DISTANTRPG_NAME"			"Ein berechneter Unfall"
"TF2C_ACHIEVEMENT_KILL_WITH_DISTANTRPG_DESC"			"Töten Sie einen gegnerischen Spieler mit einer im Bogen fliegenden Rakete aus großer Distanz."
"TF2C_ACHIEVEMENT_PLAY_GAME_CLASSICMAPS_1_NAME"			"Ein erfahrener Weltenbummler"
"TF2C_ACHIEVEMENT_PLAY_GAME_CLASSICMAPS_1_DESC"			"Spielen Sie ein komplettes Spiel auf Dustbowl, 2Fort, Badlands (CP), Well (CTF), und Avanti."
"TF2C_ACHIEVEMENT_KILL_BUILDINGS_WITH_MIRV_NAME"		"KA-BOOM!"
"TF2C_ACHIEVEMENT_KILL_BUILDINGS_WITH_MIRV_DESC"		"Schalten Sie 5 Engineer-Gebäude mit dem Dynamitbündel aus."
"TF2C_ACHIEVEMENT_DEFUSE_MIRV_NAME"						"Zünderplünderer"
"TF2C_ACHIEVEMENT_DEFUSE_MIRV_DESC"						"Entschärfen Sie ein Dynamitbündel eines gegnerischen Demomans mit dem Schraubenschlüssel."
"TF2C_ACHIEVEMENT_TRANQ_MELEE_KILL_NAME"				"Tiefschlaf"
"TF2C_ACHIEVEMENT_TRANQ_MELEE_KILL_DESC"				"Töten Sie als Spy 10 betäubte Feinde mit ihrer Nahkampfwaffe."
"TF2C_ACHIEVEMENT_EXTINGUISH_BOMBLETS_NAME"				"Der Kerzenlöscher"
"TF2C_ACHIEVEMENT_EXTINGUISH_BOMBLETS_DESC"				"Löschen Sie mit Airblast 20 Dynamitbündel."
"TF2C_ACHIEVEMENT_KILL_SENTRY_WITH_NAILGUN_NAME"		"Nagelstecher"
"TF2C_ACHIEVEMENT_KILL_SENTRY_WITH_NAILGUN_DESC"		"Zerstören Sie mit der Nagelpistole 5 Sentryguns."
"TF2C_ACHIEVEMENT_BRICK_NAME"							"Stein"
"TF2C_ACHIEVEMENT_BRICK_DESC"							"..."
"TF2C_ACHIEVEMENT_ANCHOR_DEATHKILL_NAME"				"Das senkende Schiff"
"TF2C_ACHIEVEMENT_ANCHOR_DEATHKILL_DESC"				"Sterben Sie bei einem Anker-Erdbeben und erzielen Sie gleichzeitig einen Kill."
"TF2C_ACHIEVEMENT_SSG_MEATSHOTS_NAME"					"Reißen und zerfetzen!"
"TF2C_ACHIEVEMENT_SSG_MEATSHOTS_DESC"					"Zerfetzen Sie 10 Feinde mit der Doppelflinte."
"TF2C_ACHIEVEMENT_HARVESTER_DECAP_SINGLE_LIFE_NAME"		"Kopfrausch"
"TF2C_ACHIEVEMENT_HARVESTER_DECAP_SINGLE_LIFE_DESC"		"Enthaupten Sie 3 Gegner mit dem Harvester in einem einzigen Leben."
"TF2C_ACHIEVEMENT_CYCLOPS_COMBO_NAME"					"Kombo-Fetzer"
"TF2C_ACHIEVEMENT_CYCLOPS_COMBO_DESC"					"Töten Sie mindestens 3 Gegner mit einem einzigen Schuss des Zyklopen."
"TF2C_ACHIEVEMENT_SANDVICH_MINES_NAME"					"Entwaffnet"
"TF2C_ACHIEVEMENT_SANDVICH_MINES_DESC"					"Zerstören Sie als Heavy eine gegnerische Mine in weniger als 5 Sekunden, ohne sich ihr zu nähern."
"TF2C_ACHIEVEMENT_TAUNT_KILL_MIRV_NAME"					"1, 1, 1, Äh ..."
"TF2C_ACHIEVEMENT_TAUNT_KILL_MIRV_DESC"					"Töten Sie einen Feind mit einer schief gelaufenen Sprengstoffkonfiguration."
"TF2C_ACHIEVEMENT_AA_GUN_CHALLENGE_NAME"				"Das Eindämmungserlaubnis"
"TF2C_ACHIEVEMENT_AA_GUN_CHALLENGE_DESC"				"Fügen Sie mit der Luftabwehrk. 2000 Schaden in einem einzigen Leben zu, ohne sich dabei selbst zu treffen."
"TF2C_ACHIEVEMENT_CHEKHOV_CRIT_KILL_NAME"				"Erst sammeln, dann Zahltag"
"TF2C_ACHIEVEMENT_CHEKHOV_CRIT_KILL_DESC"				"Erzielen Sie einen Krit-Kill mit Tschehow-Kette bei maximaler Krit-Sammlung."
"TF2C_ACHIEVEMENT_JUMPPAD_STOMP_NAME"					"Zerstampft"
"TF2C_ACHIEVEMENT_JUMPPAD_STOMP_DESC"					"Töten Sie einen Gegner, indem Sie auf ihm landen, nachdem Sie einen Sprungplattform benutzt haben."
"TF2C_ACHIEVEMENT_EXTEND_UBER_NAME"						"Marathon-Chirurgie"
"TF2C_ACHIEVEMENT_EXTEND_UBER_DESC"						"Verlängern Sie die Überladung des Knallkapselwerfer auf 12 Sekunden."
"TF2C_ACHIEVEMENT_CHEKHOV_SHOCK_NAME"					"Heavy ist tot!"
"TF2C_ACHIEVEMENT_CHEKHOV_SHOCK_DESC"					"Verpassen Sie einem feindlichen Heavy, der den Tschehow-Ketten ausgerüstet hat, einen Herzinfarkt!"
"TF2C_ACHIEVEMENT_HEADSHOT_KILL_MIDFLIGHT_NAME"			"Tod in der Luft"
"TF2C_ACHIEVEMENT_HEADSHOT_KILL_MIDFLIGHT_DESC"			"Töten Sie einen Gegner mit einem Kopfschuss, während er in der Luft ist."
"TF2C_ACHIEVEMENT_SPEEDWATCH_COUNTER_NAME"				"Hunt Down the Frenchman"
"TF2C_ACHIEVEMENT_SPEEDWATCH_COUNTER_DESC"				"Entlarven Sie einen unsichtbaren L'escampette-Spy, indem Sie ihm Schaden zufügen."
"TF2C_ACHIEVEMENT_WIN_CIVILIAN_NODEATHS_NAME"			"Der Entrepreneur"
"TF2C_ACHIEVEMENT_WIN_CIVILIAN_NODEATHS_DESC"			"Gewinnen Sie eine Runde VIP als Civilian ohne zu sterben."
"TF2C_ACHIEVEMENT_VIPR_TIME_NAME"						"Schneller Zustand"
"TF2C_ACHIEVEMENT_VIPR_TIME_DESC"						"Gewinnen Sie eine Runde VIP-Rennen in weniger als drei Minuten." 
"TF2C_ACHIEVEMENT_ARCHAEOLOGY_NAME"						"Archäologie"
"TF2C_ACHIEVEMENT_ARCHAEOLOGY_DESC"						"Entdecken Sie den vergrabenen Schatz in Jinn."
"TF2C_ACHIEVEMENT_AIRHOCKEY_NAME"						"Hockeymeister"
"TF2C_ACHIEVEMENT_AIRHOCKEY_DESC"						"Gewinnen Sie ein Spiel Air Hockey auf 2Bridge."
"TF2C_ACHIEVEMENT_CHICKEN_ENVKILL_NAME"					"Hühnchen rupfen"
"TF2C_ACHIEVEMENT_CHICKEN_ENVKILL_DESC"					"Treiben Sie einen Huhn in den Tod durch Umwelteinfluss." 
"TF2C_ACHIEVEMENT_4TEAM_BACKSTAB_NAME"					"Dreifachagent"
"TF2C_ACHIEVEMENT_4TEAM_BACKSTAB_DESC"					"Stechen Sie Spieler aus allen drei gegnerischen Teams in einer einzigen Vierteam-Runde ab."
"TF2C_ACHIEVEMENT_HOLD_ALLPOINTS_DOMINATION_NAME"		"Totale Dominierung"
"TF2C_ACHIEVEMENT_HOLD_ALLPOINTS_DOMINATION_DESC"		"Halten Sie Ihr Team während einer Runde Dominierung jeden Kontrollpunkt."
"TF2C_ACHIEVEMENT_SHAME_NAME"							"Abzeichen der Schande"
"TF2C_ACHIEVEMENT_SHAME_DESC"							"Lassen Sie sich vom feindlichen VIP töten. Das hat sich jetzt vermerkt."
"TF2C_ACHIEVEMENT_DOMINATE_DEVELOPER_NAME"				"Destruktive Kritik"
"TF2C_ACHIEVEMENT_DOMINATE_DEVELOPER_DESC"				"Dominieren Sie einen Spieler mit einer Mitwirkenden-Medaille."

// ----------------------------------------------------------------
// Discord Rich Presence
// ----------------------------------------------------------------

"Discord_InMenu"					"In Menüs"
"Discord_InMenu_ToolTip"			"Hauptmenü"
"Discord_IsLoading"					"Ladevorgang läuft..."
"Discord_IsLoading_ToolTip"			"Lädt..."
"Discord_InOfficialMap"				"Offizielle Karte: %s1"
"Discord_InCommunityMap"			"Community-Karte: %s1"
"Discord_InServer_Info"				"Auf Server: %s1"

"GameUI_GameMenu_Disconnect"    "VERBIND. TRENNEN"
"GameUI_Quit"    "Spiel beenden"
"GameUI_QuitConfirmationTitle"    "SPIEL BEENDEN"
"GameUI_GameMenu_Quit"    "SPIEL BEEND."

// ----------------------------------------------------------------
// Server Browser
// ----------------------------------------------------------------
"ServerBrowser_PlayerCount" "%s1/%s2"
"ServerBrowser_LatencyDetail" "Latenz: %s1"
"ServerBrowser_IPAddressDetail" "IP-Adresse: %s1"
"ServerBrowser_PlayerListHeading" "Spieler (%s1/%s2, %s3 Bots):"
"ServerBrowser_NotFullFilter" "Server nicht voll"
"ServerBrowser_HasPlayersFilter" "Spieler"
"ServerBrowser_NoPasswordFilter" "Kein Passwort"
"ServerBrowser_HasTagsFilter" "Tags"
"ServerBrowser_MaxLatencyFilter" "Max. Latenz"
"ServerBrowser_MaxPlayersFilter" "Max. Spieler"
"ServerBrowser_ServerTypeFilter" "Serverart"
"ServerBrowser_MapNameFilter" "Kartenname"
"ServerBrowser_SortBy" "Sortiert von:"
"ServerBrowser_SortByName" "Name"
"ServerBrowser_SortByMap" "Karte"
"ServerBrowser_SortByPlayers" "Spieler"
"ServerBrowser_SortByLatency" "Latenz"
"ServerBrowser_SortByLastPlayed" "Zuletzt gespielt"
"ServerBrowser_UseLegacyBrowser" "Altes Browsermenü"
"ServerBrowser_CurrentMapHeading" "Aktuelle Karte:"
"ServerBrowser_TagListHeading" "Tags:"
"ServerBrowser_OfficialDetail" "Dieser Server ist offiziell"
"ServerBrowser_VerifiedDetail" "Dieser Server ist verifiziert"
"ServerBrowser_Any" "Belieb."
"ServerBrowser_Official" "Offiziell"
"ServerBrowser_Verified" "Verifiziert"
"ServerBrowser_OfficialOrVerified" "Offiziell oder Verifiziert"
"ServerBrowser_CustomRules"	"Benutzerdef. Regeln"
"ServerBrowser_CustomWeapons" "Benutzerdef. Waffen"
}
}
